gene_idx,correct,y_true,delta_bic
0,1,0,-8.646033408378116
1,1,0,-11.911532107862513
2,1,0,-12.025065343083043
3,1,0,-8.16418347251647
4,1,0,-12.67604004360419
5,1,0,-11.92118642929654
6,1,0,-12.312120288706865
7,1,0,-12.356631818877304
8,1,0,-12.95730360929474
9,1,0,-11.955218660515357
10,1,0,-11.542682044712365
11,1,0,-10.252557220543167
12,1,0,-11.824145656690916
13,1,0,-8.521471890424436
14,1,0,-2.8792102340289603
15,1,0,-12.669425170876139
16,1,0,-11.92003921471769
17,1,0,-12.465043486182594
18,1,0,-7.136518214821081
19,0,0,10.774802880268908
20,1,0,-7.219360410964782
21,1,0,-11.3987326572651
22,1,0,-9.513128864478858
23,1,0,-12.143584687742987
24,1,0,-12.180204091930591
25,1,0,-2.976949321774555
26,0,0,28.444068354188857
27,1,0,-13.187798695666743
28,1,0,-11.964591329446648
29,1,0,-13.042752379648846
30,1,0,-10.21456314179386
31,1,0,-8.427678627029309
32,0,0,10.32890307503476
33,1,0,-11.707041339122043
34,1,0,-10.021215300475887
35,1,0,-8.160243373679805
36,1,0,-13.553477464269235
37,1,0,-8.717661116102136
38,0,0,4.693365352132787
39,1,0,-11.311895184685227
40,1,0,-9.05153096860704
41,1,0,-13.847940811581338
42,1,0,-10.22076559461766
43,1,0,-12.415992541007881
44,1,0,-8.746523639651514
45,1,0,-11.076232379511566
46,1,0,-10.905532229924574
47,1,0,-10.57265042881727
48,1,0,-12.41343630340225
49,1,0,-8.104464008386458
50,1,0,-10.919264346999626
51,1,0,-11.421768406556112
52,1,0,-8.945927582846025
53,1,0,-13.980243459573103
54,1,0,-3.916781727810303
55,1,0,-10.499220663491542
56,1,0,-7.720545964725261
57,1,0,-12.067366812143064
58,1,0,-13.228130272309954
59,1,0,-12.793445712982475
60,1,0,-11.499497943297229
61,1,0,-8.622184922151519
62,1,0,-11.666665109702535
63,1,0,-10.96724754591105
64,1,0,-11.704551621293831
65,1,0,-11.568435795548112
66,1,0,-3.852289993602426
67,1,0,-11.554786688175227
68,1,0,-12.038152164262328
69,1,0,-11.63427403536025
70,1,0,-12.369617250263218
71,1,0,-10.36121809498104
72,1,0,-8.142058090572846
73,1,0,-11.83288239666581
74,1,0,-8.256349676842547
75,1,0,-8.858383772544585
76,1,0,-8.603437990443581
77,1,0,-11.028590680107754
78,1,0,-12.66450558694919
79,1,0,-12.319791945868019
80,0,0,8.00068285327643
81,1,0,-11.00748805381636
82,1,0,-11.4417224369231
83,1,0,-7.0028502088343885
84,1,0,-10.929175188719
85,1,0,-12.292499379306264
86,1,0,-2.371584490389523
87,0,0,17.017944702985915
88,1,0,-13.102253268474215
89,1,0,-13.648948251903676
90,1,0,-4.099242606007465
91,1,0,-2.596099070969103
92,1,0,-1.7483443176520268
93,1,0,-12.60364463175165
94,1,0,-8.154932150620425
95,1,0,-12.795500844980552
96,1,0,-5.082316911302769
97,1,0,-10.401801427279452
98,1,0,-11.396669657222446
99,1,0,-12.925653913757287
100,1,0,-12.42026395298626
101,1,0,-12.845928238557917
102,1,0,-12.356697575210774
103,1,0,-12.1447021162503
104,1,0,-10.656573230775393
105,1,0,-1.6843221792096301
106,1,0,-7.4795257984415
107,1,0,-9.212505658325881
108,1,0,-11.881666575142845
109,1,0,-12.494518314705829
110,1,0,-13.2815724832858
111,1,0,-11.558727526733037
112,1,0,-10.662209032980172
113,0,0,4.802222412761239
114,1,0,-2.713188725139389
115,1,0,-12.778916556313106
116,1,0,-11.177152794778976
117,1,0,-12.00692980763688
118,1,0,-12.402069226049207
119,1,0,-9.905875840821864
120,1,0,-12.517106003706658
121,1,0,-12.073346522558268
122,1,0,-11.327989014986542
123,1,0,-7.879344827213572
124,1,0,-9.807171173422375
125,1,0,-4.032594939560113
126,1,0,-12.110271269948498
127,1,0,-11.939421202730045
128,1,0,-13.571939177855256
129,1,0,-7.706312242187323
130,1,0,-13.604972922498519
131,1,0,-11.889538089335474
132,0,0,4.642990689404542
133,1,0,-13.822269140461913
134,1,0,-12.724664481273976
135,1,0,-12.631350867604851
136,1,0,-7.392821808579811
137,1,0,-0.36769949647259637
138,1,0,-9.187460618907153
139,1,0,-11.40477179915797
140,1,0,-12.588439875713448
141,1,0,-11.89852737044339
142,1,0,-10.946424902900617
143,1,0,-13.192544317131023
144,1,0,-11.39440324506677
145,0,0,16.769192849076717
146,1,0,-10.267436542778796
147,1,0,-3.04382119930915
148,1,0,-9.87533514947063
149,1,0,-11.229549012258303
150,1,0,-3.685163337380345
151,1,0,-12.940459760510748
152,1,0,-1.8371858676546253
153,1,0,-9.109807277334312
154,1,0,-13.987513282319469
155,1,0,-16.355893784349064
156,1,0,-6.442090230876602
157,1,0,-9.935115427804249
158,1,0,-10.327176697993309
159,1,0,-5.348592941874813
160,1,0,-10.893483363733594
161,1,0,-12.07583052905693
162,1,0,-11.383971130501322
163,1,0,-9.641402812119395
164,1,0,-8.129299042343064
165,1,0,-7.971649995865846
166,1,0,-8.140785730542575
167,1,0,-13.315047616092215
168,1,0,-13.162972226682996
169,1,0,-13.821474269791679
170,1,0,-11.276500583066081
171,1,0,-11.907087586598436
172,1,0,-11.380359758170925
173,1,0,-9.044081879593705
174,1,0,-12.080696276564595
175,1,0,-14.39910856638221
176,1,0,-10.393142110477129
177,1,0,-9.901742343572778
178,1,0,-10.022580390096664
179,1,0,-8.771941010523733
180,1,0,-5.875440023162355
181,1,0,-12.941530822870163
182,1,0,-2.3433809246635064
183,1,0,-11.494172443392472
184,1,0,-10.726372208181147
185,1,0,-12.316212223149705
186,1,0,-11.084402308104018
187,1,0,-11.258910063369058
188,1,0,-9.764917340412467
189,1,0,-5.7888977845668705
190,1,0,-13.347630604012238
191,1,0,-12.12051419489626
192,0,0,11.029146678024063
193,1,0,-12.998206388546805
194,1,0,-6.779962419204367
195,1,0,-14.778016429057516
196,1,0,-10.985787183253024
197,1,0,-11.4669659273668
198,1,0,-11.33221218472454
199,1,0,-9.608792618942516
200,1,0,-12.36260624991246
201,1,0,-12.563913113770923
202,1,0,-12.425733099202716
203,1,0,-12.195399949519924
204,1,0,-12.416092765399299
205,1,0,-11.724550933521186
206,1,0,-12.604147230849776
207,1,0,-12.227946140672884
208,1,0,-12.502222390457064
209,1,0,-11.078575133829418
210,1,0,-12.733016296816004
211,1,0,-11.716668940393447
212,1,0,-12.285133854877586
213,1,0,-12.30332795083541
214,1,0,-11.930255232918626
215,1,0,-12.34487781558164
216,1,0,-11.1853366473415
217,1,0,-12.42791123705274
218,1,0,-12.649529767850709
219,1,0,-8.032134799323103
220,1,0,-12.174709673086
221,0,0,11.103616285210592
222,1,0,-9.794101563857566
223,1,0,-11.917684045080023
224,1,0,-12.209525327078154
225,0,0,1579.0804763621613
226,1,0,-12.397051563400055
227,1,0,-12.569914306005558
228,1,0,-12.447504551685142
229,1,0,-12.253820502649887
230,1,0,-10.885362249978243
231,1,0,-12.642756419363195
232,1,0,-12.43486442121457
233,1,0,-12.125019068966594
234,1,0,-12.291469227189737
235,1,0,-7.069903271066323
236,1,0,-12.723794262798492
237,1,0,-11.93288346325653
238,1,0,-12.564794803799032
239,1,0,-12.171623792077753
240,1,0,-12.028614938621104
241,1,0,-9.406504591639077
242,1,0,-12.579109426856576
243,1,0,-12.632020074317097
244,0,0,4.795587296430767
245,1,0,-12.20446552249814
246,1,0,-12.04652206813671
247,1,0,-12.559969639468363
248,1,0,-12.467084034600248
