gene,state,seed,BS,BF,Pon,nll,nll_per_cell,n_cells,mmax,boundary_mass,train_best_mean_nll,kon,koff,ksyn,k01,k10,k12,k21,analysis_role,log10_BS,log10_BF
0610007P14Rik,2,202,2.333417635064733,1.0984649525046255,0.0978876896505466,828.448068654703,2.025545400133748,409,70,1.1795384984428813e-17,2.772897381189308,1.2176587547941904,11.221686367571673,26.184880865257245,,,,,stable_K2,0.36799247577262234,0.040786204928207066
1810009A15Rik,2,202,4.395219231461248,1.597201663341472,0.0975423570301648,1205.178657462497,2.932308169008509,411,83,1.1549636641736677e-12,2.772897381189308,1.769835599248018,16.374441954970806,71.96926218493361,,,,,stable_K2,0.6429805423538862,0.20335975380106697
1810013L24Rik,2,303,3.825936568916841,0.8242666995550703,0.0707851202135411,935.6886191772784,2.386960763207343,392,78,9.691605259171464e-18,2.777697630751873,0.887057146291602,11.644632333299176,44.55162467556075,,,,,stable_K2,0.5827377654827679,-0.08393224533597825
1810037I17Rik,2,202,6.618847780914777,1.0982189735994154,0.0850595172157266,1245.5428229933311,3.0754143777613114,405,100,1.7508206742419334e-12,2.772897381189308,1.2003173914191705,12.911182775868925,85.45715346504511,,,,,stable_K2,0.8207823933757221,0.0406889426135205
1810043H04Rik,2,101,1.954318797203134,1.2444029023089849,0.0917007000795519,819.0625305237556,2.032413227106093,403,70,-3.618940672611893e-19,2.7720772594232392,1.3700361790634146,13.570266107340988,26.520626136625093,,,,,stable_K2,0.2909954092154616,0.09496101533871258
1810055G02Rik,2,101,2.690372116207416,1.117098783885489,0.0821570919719827,895.4286952755695,2.216407661573192,404,70,-3.734709520405648e-18,2.7720772594232392,1.2170914805950537,13.597107164728316,36.581277977069135,,,,,stable_K2,0.42981235317663263,0.0480915790238046
1810058I24Rik,2,101,4.652558101142926,1.6626011944059296,0.1030575442206371,1224.9659960742404,2.966019360954577,413,79,5.072648990243484e-11,2.7720772594232392,1.8536319511838448,16.132746098106566,75.05853855242763,,,,,stable_K2,0.6676918053059125,0.2207880881613752
2310022B05Rik,2,101,8.98769668094563,1.4961394783516078,0.0832368429841612,1469.2882663758476,3.5575987079318345,413,148,5.566461679104084e-12,2.7720772594232392,1.6319803723588766,17.974486113514683,161.54922918413922,,,,,stable_K2,0.953648407314696,0.174972082736202
2410006H16Rik,2,101,4.5323284211552615,1.4807950960143843,0.0917200341765811,1218.1522884671049,2.949521279581368,413,85,6.616324443499264e-13,2.7720772594232392,1.6303289203037088,16.144729003954907,73.1732141164745,,,,,stable_K2,0.6563213721374476,0.17049496748348977
2610203C20Rik,2,303,3.314351309797486,0.7131190554525311,0.0678913300782583,758.6535368306181,1.9808186340225016,383,75,5.60143700193683e-18,2.777697630751873,0.7650599961830667,10.503830969735294,34.81338593243357,,,,,stable_K2,0.5203985402390673,-0.14683795849351883
