gene,state,n_cells,mmax_cdf,max_abs_cdf_difference,mean_abs_cdf_difference,total_variation_empirical_vs_fit,nll_recomputed,nll_per_cell_recomputed,fsp_boundary_mass_cdf
0610007P14Rik,2,409,70,0.04004493906726536,0.0034553391678434574,0.05277318213737755,828.4480686547026,2.025545400133747,5.020889690209172e-19
1810009A15Rik,2,411,83,0.023105758690706413,0.0036097715230255603,0.08682584080583877,1205.178657462497,2.932308169008509,1.1549636641736673e-12
1810013L24Rik,2,392,78,0.0454692254069482,0.004224449069208625,0.06989497957323657,935.6886191772769,2.386960763207339,1.6548183773105165e-17
1810037I17Rik,2,405,100,0.030868708467850392,0.0042876383669313515,0.10572933675155376,1245.5428229933364,3.0754143777613243,1.7507687675024565e-12
1810043H04Rik,2,403,70,0.025894994274837546,0.0020740633518666314,0.07388808531167053,819.0625305237555,2.032413227106093,-3.6189406726118934e-19
1810055G02Rik,2,404,70,0.03354319771749298,0.0022171112968993596,0.0849077349468185,895.4286952755695,2.2164076615731916,-3.7347095204056475e-18
1810058I24Rik,2,413,79,0.03959937058769525,0.005319690222092847,0.09872482027601309,1224.9659960742404,2.966019360954577,5.0726489902434834e-11
2310022B05Rik,2,413,148,0.05425113896531053,0.0056879495688579515,0.1390901406613829,1469.2882663758478,3.557598707931835,5.5664616791040835e-12
2410006H16Rik,2,413,85,0.017609815231073078,0.0025996898228242108,0.07432976344874781,1218.1522884671047,2.9495212795813672,6.616324443499263e-13
2610203C20Rik,2,383,75,0.04186318147325341,0.003437482369493272,0.050855723597680785,758.6535368306182,1.980818634022502,5.6014370019368305e-18
4833439L19Rik,2,413,70,0.03770547539803515,0.002669694701568189,0.08805452372857454,847.4417571130629,2.05191708744083,8.974036805944322e-18
9030624J02Rik,2,405,70,0.025936048059424954,0.00217517359471778,0.05869617164653306,929.2700628963493,2.294493982460122,3.240766339588196e-18
AI413582,2,411,73,0.03574697808812277,0.002714745862438817,0.07341928561655592,1076.6673381987634,2.619628560094315,4.738510087222114e-13
Aasdhppt,2,389,70,0.023993158179086427,0.0015100324453446211,0.0498984830067541,817.3036423499065,2.10103764100233,6.511319892439319e-17
Abcc1,2,397,72,0.026208715378727487,0.003972130015077246,0.07777736007929084,903.8357576024515,2.2766643768323718,3.694915911127822e-17
Abhd4,2,413,73,0.06259507984914192,0.005128970696983947,0.09757784971420562,990.5446156884336,2.398413113047055,-1.9100634132494397e-18
Abi3bp,2,409,168,0.062080868948807155,0.011907116048132561,0.14913875824401604,1374.304672788556,3.3601581241773983,3.295372696547433e-07
Acadl,2,408,70,0.04461793438739459,0.0038431202493508666,0.0556103590588391,849.1856561043003,2.0813373924125007,6.309390376644308e-18
Acads,2,413,70,0.012317553912413293,0.0007452783245472836,0.02919718775545668,823.595567615718,1.9941781298201404,7.116246981064315e-18
Acat1,2,407,94,0.019803282042128778,0.002386674682349674,0.06271547523254885,1050.9106546877538,2.5820900606578716,-1.0019345742389664e-17
Acly,2,386,77,0.022438300926920784,0.002455678970862115,0.06613262091149398,893.1910596961518,2.313966475896766,1.0452577776948974e-17
Aco2,2,404,70,0.04877966697415581,0.0036231597629586784,0.09715491378802663,820.8266939286365,2.031749242397615,2.0406118098501768e-18
Acot7,2,410,91,0.05105170622502969,0.004258487774951286,0.11061141954631858,985.7921413216754,2.4043710763943302,1.1027406013114061e-13
Actn1,2,413,400,0.060600305913493635,0.0074421065870872985,0.23689140500202632,1969.0081415926065,4.767574192718175,3.289633234339117e-17
Actr1b,2,407,70,0.044645035256812515,0.0033179414613085504,0.09832489651371924,920.846350170706,2.2625217448911696,-6.789956154935326e-18
Actr2,2,413,70,0.09937191201885764,0.009686422199050455,0.15992597138915993,992.5190967981753,2.4031939389786325,2.88812459931781e-16
Adam12,2,393,71,0.021658435601060955,0.001893568983930519,0.08522563372867382,861.1886578130902,2.191319739982418,8.367028425079753e-18
Adam19,2,411,85,0.04966533901235948,0.00612788193661183,0.10487575049308613,1115.5442846320993,2.714219670637711,6.392901742374362e-16
Adam9,2,413,86,0.019899005478500542,0.0030484550493567165,0.09429537051877296,1206.1793230011401,2.9205310484289106,3.580618968218337e-13
Add1,2,401,76,0.040487497466741296,0.0036679341062468445,0.05874027306678466,889.5094307909046,2.218228006959862,-1.0146880832049687e-17
Adh5,2,413,70,0.02675593901854434,0.0027376225664914313,0.08026468195363735,1039.9897219564252,2.5181349199913443,1.3802793423564858e-13
Adipor1,2,413,74,0.06395101676927101,0.004382719961686002,0.12617071756221737,1146.5131933530836,2.776061000854924,3.1346154957125316e-13
Adipor2,2,391,97,0.042491996844316926,0.003391943043291988,0.0734949531007108,848.3465448060481,2.16968425781598,-1.1933905711894492e-17
