gene,state,n_restarts,BS_min,BS_median,BS_max,BS_restart_fold,BF_min,BF_median,BF_max,BF_restart_fold,best_seed,best_nll_per_cell
0610007P14Rik,2,3,2.333417635064733,2.6459659072669215,2.987745832944957,1.2804162392738887,0.9743950972465715,1.0699846595618245,1.0984649525046257,1.1273301308767343,202,2.025545400133748
1810009A15Rik,2,3,4.251921306317413,4.30924582553734,4.395219231461248,1.0337019231590496,1.4649340196008707,1.5769770322612446,1.597201663341472,1.0902891474775351,202,2.932308169008509
1810013L24Rik,2,3,3.2805260774011895,3.825936568916841,4.043137869708179,1.2324663100715618,0.7114572493785561,0.8242666995550703,0.9994580418856543,1.4048040732716705,303,2.386960763207343
1810037I17Rik,2,3,5.862184400062707,6.283246532724368,6.618847780914777,1.1290753291288442,1.0982189735994154,1.1483911904033064,1.2245808971890149,1.115060772602979,202,3.0754143777613114
1810043H04Rik,2,3,1.954318797203134,2.1422043832460167,2.5743069798109244,1.3172400447128014,0.9441273885610111,1.193330600483511,1.2444029023089849,1.3180455491346754,101,2.0324132271060935
1810055G02Rik,2,3,2.639204405143504,2.6903721162074157,2.7542951405851563,1.043608117361942,1.0221126617131926,1.117098783885489,1.1863820248873411,1.1607155153511277,101,2.2164076615731916
1810058I24Rik,2,3,4.652558101142926,4.773524662643038,4.88138754059896,1.049183574816577,1.4797419094215796,1.637306627631436,1.6626011944059296,1.1235751206477813,101,2.966019360954577
2310022B05Rik,2,3,8.696852229296725,8.98769668094563,9.75292372808623,1.1214314640453429,1.392624154492937,1.4961394783516078,1.5503493617939044,1.1132575553799697,101,3.5575987079318345
2410006H16Rik,2,3,4.5323284211552615,4.676396264463316,5.224532025102304,1.152725826468375,1.2971457424939776,1.4112358598572088,1.4807950960143843,1.1415795831602626,101,2.9495212795813677
2610203C20Rik,2,3,3.314351309797486,3.8944342558836333,3.911880678550509,1.1802854655107557,0.704086899835095,0.7062890320341892,0.7131190554525311,1.0128281830262025,303,1.9808186340225016
4833439L19Rik,2,3,2.291438909907377,2.482177374948679,2.6547505461795486,1.1585517443652282,0.9853528343544528,1.1331508268752448,1.1654509876645849,1.182775293307115,101,2.0519170874408292
