condition,n_cells,eta,pon,n,nn_bs_med,nn_bf_med,nn_bs_q90,nn_bf_q90,mle_bs_med,mle_bf_med
n200_eta0p3,200,0.3,0.03,12,0.20227948817502256,0.206568243721789,0.3668640791230941,0.3274472056530622,0.12842366532901434,0.03601606391528786
n200_eta0p3,200,0.3,0.05,12,0.15942052482488428,0.13328662208198114,0.3360080862178373,0.4042770562750083,0.05997877743863694,0.0674389647737445
n200_eta0p3,200,0.3,0.075,12,0.17457287052361714,0.14254355093245832,0.3755943991222094,0.2907736866652871,0.12334013214276032,0.0834729802098021
n200_eta0p3,200,0.3,0.1,12,0.18234449366417455,0.13740234559118153,0.3405633528570066,0.3743783191398703,0.11221883750521718,0.09446683203108991
n200_eta0p3,200,0.3,0.125,12,0.19136015512856314,0.14790625220741765,0.4212889778260925,0.43415582813267756,0.23285360385086407,0.21414337158609065
n200_eta0p3,200,0.3,0.15,12,0.1878914238927132,0.15150320328253075,0.39503031748004125,0.4600898533124444,0.04307965507630248,0.04663921065841935
n200_eta0p3,200,0.3,0.175,12,0.17795017437510902,0.1720576459390213,0.3884035012013211,0.4085001678104235,0.201188363912954,0.18553255701532256
n200_eta0p3,200,0.3,0.2,12,0.18670725165476548,0.20457104414259647,0.36675279079760165,0.39207649184790916,0.23709857894527753,0.24997123284617428
n200_eta0p3,200,0.3,0.225,12,0.21113231257697745,0.1851304619703032,0.4650002158020117,0.49864907560772914,0.14630113708902187,0.11302297448012666
n200_eta0p3,200,0.3,0.25,12,0.20821526065988138,0.2384691997945939,0.45427963710580355,0.47927234736400126,0.35313116811553263,0.37028801894163954
n200_eta0p3,200,0.3,0.3,12,0.20031871113028377,0.18009694224892903,0.46836304673752843,0.5158579718793399,0.1501559021671211,0.1645090058375224
n200_eta0p3,200,0.3,0.35,12,0.25145075060419336,0.2682440728695704,0.5819872157717543,0.6083216097877834,0.1996545996165559,0.2150958251826614
n200_eta0p3,200,0.3,0.4,12,0.2920226620287695,0.2970572751102244,0.6182160541998432,0.6253453553358084,0.3047081592619223,0.30769098244549986
n200_eta0p3,200,0.3,0.45,12,0.3676340662749209,0.382621770949808,0.6747756381715523,0.6665988451161935,0.36206054628690554,0.3534151278746595
n200_eta0p3,200,0.3,0.5,12,0.3754525463811551,0.36135192565242186,0.6735842535193856,0.7085193779103097,1.3352915161100993,1.3670348000366628
n200_eta0p3,200,0.3,0.55,12,0.40788870467429694,0.40340597216596547,0.8213980938344664,0.8197536355195656,0.589409543122325,0.5991194654366362
n200_eta0p3,200,0.3,0.6,12,0.45901129363860615,0.4477337118560168,0.6273807606883886,0.6497554739369646,1.940314225038179,1.9210183465085264
n200_eta1,200,1.0,0.03,12,0.22195562538179914,0.1658976509726732,0.2560525657137085,0.2632195052709756,0.10352181511250877,0.050304198708954556
n200_eta1,200,1.0,0.05,12,0.16752777915880657,0.1541969660800931,0.2719648570400078,0.2199728094144452,0.09199482881596233,0.07759894465042785
n200_eta1,200,1.0,0.075,12,0.21558269248229028,0.17902734992328012,0.35591712451712226,0.28454488433945446,0.10410324666221865,0.07782950469638869
n200_eta1,200,1.0,0.1,12,0.1992521887970815,0.14464579761917679,0.3160135714989728,0.3000587391751136,0.10811373931297588,0.05587188491372577
n200_eta1,200,1.0,0.125,12,0.18593642556395445,0.1550496708705185,0.2908843638974962,0.25930255359103627,0.12659304658702641,0.1004948985037024
n200_eta1,200,1.0,0.15,12,0.1789212897291787,0.13493311558710455,0.3868731701761056,0.39249674124805317,0.16459653610191527,0.09842645763579544
n200_eta1,200,1.0,0.175,12,0.13755416863816916,0.11585077899497528,0.23604506416132676,0.21514426644115958,0.0870521598973976,0.06830757421949077
n200_eta1,200,1.0,0.2,12,0.11147745778833096,0.10841511399023421,0.2176276996197782,0.1678872760361534,0.0877633541762178,0.06121603278926715
n200_eta1,200,1.0,0.225,12,0.14179861456071305,0.13519459881140497,0.3080645287422516,0.24351947617270525,0.05451073405314245,0.06735633117832965
n200_eta1,200,1.0,0.25,12,0.14908504994823135,0.13638671236121863,0.21191468401394548,0.2109512097857232,0.09060619904639841,0.0851055133246788
n200_eta1,200,1.0,0.3,12,0.1366994406364514,0.12528435001846286,0.21835147926958784,0.20184689270273776,0.2127540320585668,0.1665327816903033
n200_eta1,200,1.0,0.35,12,0.10572092466965087,0.07347984674158951,0.21297678271711062,0.2186289072000085,0.1934991521728433,0.20189651233779898
n200_eta1,200,1.0,0.4,12,0.17988736603653915,0.17148037746738343,0.24074890714310285,0.22623683859408295,0.1532652811734583,0.14973398852120015
n200_eta1,200,1.0,0.45,12,0.20530822704133783,0.1921963014293936,0.44463732763915886,0.42411290141685204,0.1587488165465754,0.1633344193230183
n200_eta1,200,1.0,0.5,12,0.23110299463314027,0.22835434619941963,0.3553555964896761,0.3703469224544101,0.1348861517235977,0.11891369841663366
n200_eta1,200,1.0,0.55,12,0.33236679145454434,0.2790465157327877,0.5477955781536293,0.5550100212945663,0.1860292834532459,0.1931399518042736
n200_eta1,200,1.0,0.6,12,0.45505001613239593,0.47808201388579113,0.6029153467043511,0.5837003976685752,0.17939322036407276,0.19785807774690456
n500_eta0p3,500,0.3,0.03,12,0.2527717548515082,0.173810647891105,0.43570645433529304,0.36976464218244864,0.061532382554058976,0.050267546473917
n500_eta0p3,500,0.3,0.05,12,0.20614829449731448,0.14447606486115544,0.4046253162035695,0.327709873024433,0.0940133618463653,0.036318688268754395
n500_eta0p3,500,0.3,0.075,12,0.246374230440528,0.26699280995546404,0.44838966443953626,0.44879203052876304,0.060883391346543345,0.0764013832750426
n500_eta0p3,500,0.3,0.1,12,0.17226753072392278,0.17795006213293896,0.34587544838397766,0.3635660753831531,0.029845373858705032,0.0288476963980872
n500_eta0p3,500,0.3,0.125,12,0.24372136573234948,0.20844507984322164,0.4600914143530526,0.4627930317325246,0.20022179812402002,0.2070794819926458
n500_eta0p3,500,0.3,0.15,12,0.16578049202776707,0.13810311848041945,0.34206316862134906,0.3830759693763517,0.12343656205001327,0.07816671075889817
n500_eta0p3,500,0.3,0.175,12,0.1337206208507812,0.09836812955574276,0.33447747393056504,0.3751202689164069,0.2078619222681113,0.1912274268723671
n500_eta0p3,500,0.3,0.2,12,0.14994367828327632,0.1660477937889085,0.379931353969363,0.4125095932042267,0.09371306659779047,0.10223949403108923
n500_eta0p3,500,0.3,0.225,12,0.17739531390055635,0.1528031777186431,0.4535680954871164,0.46895421559124056,0.1371808536690502,0.13157677273080337
n500_eta0p3,500,0.3,0.25,12,0.17474034125323523,0.15216182953890384,0.44748422672243654,0.4894628755515254,0.11738059750919871,0.10524181631715224
n500_eta0p3,500,0.3,0.3,12,0.2048827124253696,0.12607553125204826,0.4725621531231551,0.4994523998989619,1.1797605754415008,1.235725010132789
n500_eta0p3,500,0.3,0.35,12,0.2863170914375516,0.2797644745649788,0.5625223916063347,0.56959213982581,0.2917696028018193,0.2984415933370862
n500_eta0p3,500,0.3,0.4,12,0.3389868387398468,0.3365973173265657,0.5304321769077981,0.569383843673837,0.2455867405277603,0.24264417965719848
n500_eta0p3,500,0.3,0.45,12,0.4304223698114237,0.4132741006334338,0.5592473999789277,0.5881047446647016,0.41329339517732805,0.4257211582775099
n500_eta0p3,500,0.3,0.5,12,0.40667103643615565,0.4046769891620142,0.6745020328683845,0.6475344741059769,0.3606505311770337,0.3839261279514298
n500_eta0p3,500,0.3,0.55,12,0.4425084679034801,0.457932773739824,0.8274575572003923,0.8106927256428567,0.9580016236981742,0.9348617072159207
n500_eta0p3,500,0.3,0.6,12,0.4128649439274025,0.4264460625937915,0.6465933813301714,0.6503932901596058,1.1492977371016395,1.1647652756506102
