estimator,fold_tolerance,log10_error_threshold,condition,largest_tested_pon_passing_both_medians,n_passing_grid_points,n_tested_grid_points,note
nn,1.2,0.07918124604762482,n200_eta0p3,,0,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.2,0.07918124604762482,n200_eta1,,0,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.2,0.07918124604762482,n500_eta0p3,,0,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.2,0.07918124604762482,n500_eta1,0.2,1,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.3,0.11394335230683679,n200_eta0p3,,0,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.3,0.11394335230683679,n200_eta1,0.35,2,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.3,0.11394335230683679,n500_eta0p3,,0,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.3,0.11394335230683679,n500_eta1,0.4,5,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.4,0.146128035678238,n200_eta0p3,,0,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.4,0.146128035678238,n200_eta1,0.35,5,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.4,0.146128035678238,n500_eta0p3,0.175,1,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.4,0.146128035678238,n500_eta1,0.4,13,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.5,0.17609125905568124,n200_eta0p3,0.075,2,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.5,0.17609125905568124,n200_eta1,0.35,7,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.5,0.17609125905568124,n500_eta0p3,0.25,4,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,1.5,0.17609125905568124,n500_eta1,0.45,14,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,2.0,0.3010299956639812,n200_eta0p3,0.4,13,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,2.0,0.3010299956639812,n200_eta1,0.5,15,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,2.0,0.3010299956639812,n500_eta0p3,0.35,12,17,descriptive tested-grid envelope; not a universal identifiability cutoff
nn,2.0,0.3010299956639812,n500_eta1,0.5,15,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.2,0.07918124604762482,n200_eta0p3,0.15,2,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.2,0.07918124604762482,n200_eta1,0.225,1,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.2,0.07918124604762482,n500_eta0p3,0.1,3,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.2,0.07918124604762482,n500_eta1,0.5,11,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.3,0.11394335230683679,n200_eta0p3,0.15,3,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.3,0.11394335230683679,n200_eta1,0.25,8,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.3,0.11394335230683679,n500_eta0p3,0.2,5,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.3,0.11394335230683679,n500_eta1,0.5,15,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.4,0.146128035678238,n200_eta0p3,0.15,5,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.4,0.146128035678238,n200_eta1,0.5,10,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.4,0.146128035678238,n500_eta0p3,0.25,8,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.4,0.146128035678238,n500_eta1,0.5,15,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.5,0.17609125905568124,n200_eta0p3,0.3,7,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.5,0.17609125905568124,n200_eta1,0.5,13,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.5,0.17609125905568124,n500_eta0p3,0.25,8,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,1.5,0.17609125905568124,n500_eta1,0.55,16,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,2.0,0.3010299956639812,n200_eta0p3,0.35,11,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,2.0,0.3010299956639812,n200_eta1,0.6,17,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,2.0,0.3010299956639812,n500_eta0p3,0.4,12,17,descriptive tested-grid envelope; not a universal identifiability cutoff
mle,2.0,0.3010299956639812,n500_eta1,0.6,17,17,descriptive tested-grid envelope; not a universal identifiability cutoff
