gene_index,gene_name,predicted_state,confidence
0,AI462493,2.0,1.0
1,Abi3bp,2.0,1.0
2,Aen,3.0,1.0
3,Aff1,3.0,1.0
4,Akap12,2.0,1.0
5,Akt1,3.0,1.0
6,Amotl1,2.0,1.0
7,Ankrd11,2.0,1.0
8,Antxr1,2.0,1.0
9,Anxa8,2.0,1.0
10,Ap2m1,2.0,1.0
11,Arhgdib,3.0,1.0
12,Arl6ip1,2.0,1.0
13,Arl6ip4,3.0,1.0
14,Atf4,2.0,1.0
15,Atf5,2.0,1.0
16,Atp1a1,,1.0
17,Bag2,2.0,1.0
18,Basp1,2.0,1.0
19,Bmp1,3.0,1.0
20,Brd2,2.0,1.0
21,Btf3,3.0,1.0
22,Btg2,2.0,1.0
23,Ccdc104,3.0,1.0
24,Ccnd1,2.0,1.0
25,Ccne1,2.0,1.0
26,Ccs,2.0,1.0
27,Cd248,3.0,1.0
28,Cdkn2b,2.0,1.0
29,Cited2,2.0,1.0
30,Col6a2,2.0,1.0
31,Col6a3,3.0,1.0
32,Col8a1,2.0,1.0
33,Cotl1,2.0,1.0
34,Cox7b,3.0,1.0
35,Dap3,3.0,1.0
36,Ddr1,2.0,1.0
37,Dek,2.0,1.0
38,Dkk3,3.0,1.0
39,Dph3,3.0,1.0
40,Dpp3,2.0,1.0
41,Dtymk,3.0,1.0
42,Dusp1,2.0,1.0
43,Dync1i2,3.0,1.0
44,Eef1g,3.0,1.0
45,Ehbp1l1,3.0,1.0
46,Eif2b3,2.0,1.0
47,Eif2s2,3.0,1.0
48,Eif3e,,1.0
49,Eif3m,3.0,1.0
50,Eif4e2,2.0,1.0
51,Eif4g2,3.0,1.0
52,Emilin2,2.0,1.0
53,Eml1,2.0,1.0
54,Emp1,3.0,1.0
55,Eno1,3.0,1.0
56,Fabp5,2.0,1.0
57,Fads1,2.0,1.0
58,Fads3,3.0,1.0
59,Fgf7,2.0,1.0
60,Fuca2,3.0,1.0
61,Fus,3.0,1.0
62,Fxyd5,2.0,1.0
63,Galk1,2.0,1.0
64,Gja1,2.0,1.0
65,Golim4,2.0,1.0
66,Gys1,3.0,1.0
67,Hbegf,2.0,1.0
68,Hcfc1r1,2.0,1.0
69,Hmga2,2.0,1.0
70,Hmox1,2.0,1.0
71,Hnrnpc,3.0,1.0
72,Hnrnpm,3.0,1.0
73,Hspa14,2.0,1.0
74,Id1,2.0,1.0
75,Ier2,3.0,1.0
76,Jun,3.0,1.0
77,Klf6,3.0,1.0
78,Kpna6,3.0,1.0
79,Lamb2,3.0,1.0
80,Lgals9,2.0,1.0
81,Lhfp,2.0,1.0
82,Lmod1,3.0,1.0
83,Lonp1,2.0,1.0
84,Loxl2,2.0,1.0
85,Loxl3,2.0,1.0
86,Lxn,2.0,1.0
87,Maea,3.0,1.0
88,Marcks,2.0,1.0
89,Mars,3.0,1.0
